source,artifact_kind,columns,missing_formal_columns,probability_status,raw_bwer_status,standardised_bwer_status,selective_bwer_status,conformal_bwer_status,inference_status,recommended_action,protocol_hash
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/calibration_split_manifest.csv,conformal,run_id;row_id;sample_id;image_id;location_id;country;region;class_label;calibration_split;calibration_group_column;calibration_group_value,dataset;model;task;split;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_conformal_bwer_summary.csv,conformal,run_id;selector;coverage_target;analysis_type;slice_variable;balance_variable;bwer;mean_slice_risk;tail_risk;worst_slice;tail_slices;n_valid_slices;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_conformal_coverage_summary.csv,conformal,run_id;method;coverage_target;alpha;qhat_nonconformity;confidence_threshold;calibration_count;test_count;retained_count;retained_coverage;empirical_retained_accuracy;formal_label_coverage_claim;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_conformal_slice_coverage.csv,conformal,run_id;method;coverage_target;slice_variable;slice_value;retained_count;total_count;retained_coverage;empirical_retained_accuracy,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_high_confidence_error_by_slice.csv,conformal,run_id;selector;coverage_target;slice_variable;slice_value;retained_count;total_count;retained_coverage;mean_risk;baseline_mean_risk;high_confidence_error,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_retained_coverage_by_slice.csv,conformal,run_id;selector;coverage_target;slice_variable;slice_value;retained_count;total_count;retained_coverage;mean_risk;baseline_mean_risk,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_selective_bwer_summary.csv,conformal,run_id;selector;coverage_target;analysis_type;slice_variable;balance_variable;bwer;mean_slice_risk;tail_risk;worst_slice;tail_slices;n_valid_slices;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_selective_risk_summary.csv,conformal,run_id;selector;coverage_target;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;baseline_mean_risk;risk_reduction;confidence_column;risk_column,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/fmow_support_filtered_slice_summary.csv,conformal,run_id;selector;coverage_target;slice_variable;support_filter;n_supported_slices;n_excluded_low_support_slices;risk_rank;slice_value;retained_count;total_count;retained_coverage;mean_risk;baseline_mean_risk;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
outputs\final_paper_assets\rsfm_bwer_paper_freeze_v3\rsfm_bwer_paper_freeze_v3.zip::source_outputs/fmow_conformal_selective_audit_v1/rank_divergence_under_selective_audit.csv,conformal,scenario;selector;coverage_target;analysis_type;aggregate_best_run;aggregate_best_mean_risk;bwer_best_run;bwer_best;rank_diverges;compared_runs;interpretation,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,bac5a0b065d2fe9297b132a6706eea5333522d25c9c6159b35ae1c834a37ce71
